tconst	averageRating	numVotes
tt0000001	5.7	1893
tt0000002	5.9	253
tt0000003	6.5	1688
tt0000004	5.7	166
tt0000005	6.2	2504
tt0000006	5.1	170
tt0000007	5.4	783
tt0000008	5.4	2032
tt0000009	5.3	197
tt0000010	6.9	6849
tt0000011	5.3	352
tt0000012	7.4	11752
tt0000013	5.7	1814
tt0000014	7.1	5266
tt0000015	6.2	1013
tt0000016	5.9	1419
tt0000017	4.6	310
tt0000018	5.3	569
tt0000019	5.2	31
tt0000020	4.8	339
tt0000022	5.1	1052
tt0000023	5.7	1373
tt0000024	4.2	95
tt0000025	4.3	43
tt0000026	5.7	1479
tt0000027	5.6	1107
tt0000028	5.1	1022
tt0000029	5.9	3231
tt0000030	5.2	812
tt0000031	5.5	966
tt0000032	5.0	403
tt0000033	5.5	984
tt0000034	5.0	190
tt0000035	5.4	78
tt0000036	4.4	585
tt0000037	4.4	66
tt0000038	4.2	194
tt0000039	3.5	29
tt0000040	4.4	64
tt0000041	6.8	1745
tt0000042	4.1	37
tt0000043	4.1	32
tt0000044	3.9	45
tt0000045	4.4	32
tt0000046	4.0	34
tt0000047	3.5	34
tt0000048	4.9	185
tt0000049	5.0	47
tt0000050	4.1	34
tt0000051	3.6	34
tt0000052	4.3	96
tt0000053	2.7	18
tt0000054	4.8	34
tt0000055	3.6	30
tt0000056	3.1	22
tt0000057	4.8	33
tt0000058	4.7	32
tt0000059	3.5	27
tt0000060	7.5	85
tt0000061	4.5	24
tt0000062	6.4	192
tt0000063	3.4	27
tt0000064	3.2	28
tt0000065	3.4	28
tt0000066	3.3	28
tt0000067	5.7	61
tt0000068	3.7	31
tt0000069	4.9	433
tt0000070	6.4	2560
tt0000071	3.9	29
tt0000072	3.6	27
tt0000073	3.4	30
tt0000074	4.5	31
tt0000075	6.3	1835
tt0000076	4.5	514
tt0000077	4.4	34
tt0000078	3.8	75
tt0000079	4.7	35
tt0000080	3.9	31
tt0000081	4.0	32
tt0000082	4.7	47
tt0000083	4.5	32
tt0000084	4.3	30
tt0000085	4.5	32
tt0000086	4.1	33
tt0000087	4.5	37
tt0000088	4.1	32
tt0000089	6.3	966
tt0000090	3.9	31
tt0000091	6.7	3410
tt0000092	4.4	29
tt0000093	4.8	93
tt0000094	4.8	31
tt0000095	4.6	34
tt0000096	4.2	29
tt0000097	4.8	33
tt0000098	4.9	36
tt0000099	4.4	32
tt0000100	4.7	53
tt0000101	4.4	28
tt0000102	4.5	26
tt0000103	5.1	27
tt0000104	5.6	454
tt0000105	4.7	29
tt0000106	4.2	23
tt0000107	4.9	28
tt0000108	4.4	523
tt0000109	4.5	509
tt0000110	4.4	512
tt0000111	4.4	526
tt0000112	4.5	506
tt0000113	4.3	532
tt0000114	4.8	30
tt0000115	4.6	34
tt0000116	4.9	27
tt0000117	5.2	159
tt0000118	4.9	28
tt0000119	5.5	53
tt0000120	5.3	50
tt0000121	4.2	79
tt0000122	4.8	31
tt0000123	5.7	126
tt0000124	4.9	30
tt0000125	5.3	15
tt0000126	5.2	30
tt0000127	4.3	26
tt0000128	5.4	38
tt0000129	6.4	51
tt0000130	5.5	28
tt0000131	5.8	1325
tt0000132	5.1	1018
tt0000133	5.9	35
tt0000134	4.3	19
tt0000135	6.5	79
tt0000137	4.6	30
tt0000138	6.5	1071
tt0000139	5.3	24
tt0000140	4.9	282
tt0000141	5.2	92
tt0000142	4.7	28
tt0000143	4.9	248
tt0000144	5.2	301
tt0000145	3.9	13
tt0000146	5.1	26
tt0000147	5.2	446
tt0000148	3.7	14
tt0000149	4.6	21
tt0000150	5.4	157
tt0000151	4.9	57
tt0000152	6.1	243
tt0000153	5.7	422
tt0000154	4.1	13
tt0000155	5.1	28
tt0000156	3.8	23
tt0000157	4.1	15
tt0000158	3.5	15
tt0000159	5.3	118
tt0000160	5.3	26
tt0000161	3.9	14
tt0000162	5.4	456
tt0000163	5.1	13
tt0000164	5.0	290
tt0000165	4.6	120
tt0000166	3.8	18
tt0000167	4.0	134
tt0000168	3.5	16
tt0000169	3.8	45
tt0000170	5.2	243
tt0000171	4.5	14
tt0000172	6.1	864
tt0000173	4.9	44
tt0000174	4.6	126
tt0000175	5.0	211
tt0000176	5.5	13
tt0000177	4.6	236
tt0000178	5.2	172
tt0000179	4.5	40
tt0000181	6.8	59
tt0000182	4.9	533
tt0000183	6.0	35
tt0000184	4.9	315
tt0000186	4.2	21
tt0000187	4.9	53
tt0000188	4.0	11
tt0000190	4.9	140
tt0000192	4.6	182
tt0000194	5.4	83
tt0000196	5.2	27
tt0000197	4.4	19
tt0000198	4.4	19
tt0000199	4.3	13
tt0000204	5.7	13
tt0000205	5.2	29
tt0000206	5.0	12
tt0000207	5.5	12
tt0000208	5.7	544
tt0000209	4.7	28
tt0000210	4.9	31
tt0000211	7.5	4127
tt0000213	4.7	228
tt0000214	4.4	93
tt0000215	4.1	121
tt0000218	5.9	622
tt0000219	6.6	30
tt0000222	4.7	225
tt0000223	5.4	18
tt0000225	5.2	35
tt0000228	4.9	266
tt0000229	4.4	107
tt0000230	6.5	1596
tt0000231	4.1	18
tt0000233	6.0	10
tt0000234	6.0	68
tt0000235	6.3	831
tt0000239	5.5	233
tt0000240	4.4	90
tt0000242	6.4	1138
tt0000245	6.2	49
tt0000246	6.4	1010
tt0000247	5.0	475
tt0000248	6.1	1537
tt0000251	5.4	134
tt0000253	4.4	25
tt0000256	4.7	166
tt0000261	5.4	62
tt0000264	5.7	420
tt0000265	4.3	137
tt0000269	4.8	128
tt9247166	5.5	17
tt9247180	8.2	8
tt9247208	8.8	5
tt9247314	5.5	4212
tt9247338	8.7	19
tt9247366	5.6	6
tt9247394	6.2	14
tt9247448	7.7	242
tt9247450	7.6	27
tt9247454	7.3	15
tt9247472	6.4	10
tt9247490	6.4	37
tt9247496	7.8	179
tt9247504	8.0	112
tt9247520	8.2	27
tt9247522	6.7	47
tt9247540	7.7	10
tt9247554	4.4	115
tt9247562	6.5	12
tt9247584	8.0	214
tt9247590	8.0	191
tt9247592	7.7	203
tt9247594	8.1	336
tt9247710	7.3	109
tt9247712	6.3	26
tt9247746	7.6	230
tt9247764	7.2	11
tt9247784	8.6	29
tt9247812	7.1	123
tt9247822	6.8	19
tt9247826	7.1	16
tt9247830	7.2	16
tt9247834	7.1	16
tt9247838	7.1	16
tt9247852	7.5	10
tt9247866	8.0	7
tt9247876	7.9	26
tt9247892	8.0	5
tt9247902	7.9	8
tt9247906	6.9	43
tt9247912	6.7	42
tt9247918	4.9	14
tt9247926	5.4	438
tt9247928	7.0	9
tt9247958	8.9	7
tt9247972	9.6	8
tt9247976	8.8	12
tt9247978	7.7	735
tt9247988	9.7	8
tt9247992	8.1	12
tt9248000	5.3	85
tt9248016	8.6	9
tt9248020	6.4	8
tt9248032	5.3	538
tt9248042	7.8	52
tt9248052	5.8	20
tt9248104	6.7	32
tt9248110	5.2	2182
tt9248116	7.0	14
tt9248118	6.7	65
tt9248252	6.8	110
tt9248266	5.4	5
tt9248272	7.3	8
tt9248338	8.5	38
tt9248340	7.6	1830
tt9248342	6.7	20
tt9248346	8.0	20
tt9248350	6.3	19
tt9248360	7.6	19
tt9248362	7.4	19
tt9248364	6.9	19
tt9248366	7.9	21
tt9248384	3.1	62
tt9248386	6.8	17
tt9248392	6.9	16
tt9248394	6.9	15
tt9248396	7.6	15
tt9248398	7.0	15
tt9248400	7.9	16
tt9248404	7.5	28
tt9248408	7.6	24
tt9248458	8.6	16
tt9248472	6.9	10
tt9248496	9.4	5
tt9248508	7.7	185
tt9248518	7.3	175
tt9248524	7.9	1298
tt9248530	7.6	828
tt9248536	8.2	202
tt9248538	7.9	1414
tt9248554	6.8	9
tt9248580	7.9	392
tt9248594	5.6	16
tt9248596	7.3	38
tt9248602	7.4	54
tt9248612	9.5	17
tt9248626	7.6	460
tt9248646	7.8	39
tt9248698	8.0	1053
tt9248722	8.3	6
tt9248740	5.9	208
tt9248748	7.8	103
tt9248762	6.2	22
tt9248766	9.1	1578
tt9248768	5.9	22
tt9248770	5.5	16
tt9248800	7.3	45
tt9248844	5.4	8
tt9248854	5.4	28
tt9248858	4.7	71
tt9248864	6.7	698
tt9248866	9.3	8
tt9248868	8.8	18
tt9248880	6.2	26
tt9248886	5.4	5
tt9248888	6.3	108
tt9248912	7.5	106
tt9248932	9.6	19
tt9248934	3.5	3967
tt9248940	7.0	14282
tt9248952	6.5	8679
tt9248960	5.5	39
tt9248962	3.4	48
tt9248964	8.0	9
tt9248966	6.8	9
tt9248968	4.9	16
tt9248972	6.5	15739
tt9248986	8.1	102
tt9248988	7.8	90
tt9248990	7.9	102
tt9248992	7.5	98
tt9248996	4.7	2513
tt9249034	9.4	5
tt9249042	7.6	62
tt9249048	3.6	10
tt9249068	7.8	12
tt9249086	7.4	51
tt9249090	7.8	24
tt9249096	7.4	45
tt9249098	7.3	44
tt9249102	7.3	42
tt9249106	7.3	43
tt9249108	7.7	43
tt9249110	7.7	49
tt9249118	6.1	7
tt9249120	9.3	8
tt9249134	6.8	25
tt9249136	5.7	22
tt9249138	6.1	23
tt9249140	6.5	20
tt9249146	7.5	41
tt9249148	8.8	27
tt9249158	4.8	130
tt9249166	6.8	91
tt9249214	8.2	6
tt9249216	7.8	196
tt9249222	7.2	13
tt9249224	8.4	314
tt9249234	7.2	47
tt9249256	7.8	836
tt9249272	7.2	6
tt9249278	7.2	179
tt9249282	8.0	7
tt9249296	5.5	12
tt9249306	7.1	16
tt9249310	6.0	5
tt9249316	4.5	34
tt9249340	6.8	26
tt9249342	7.1	16
tt9249346	7.0	21
tt9249350	6.5	14
tt9249372	4.3	6
tt9249432	3.4	628
tt9249496	7.6	38
tt9249508	7.5	32
tt9249510	7.7	31
tt9249518	8.1	32
tt9249522	8.6	45
tt9249528	7.9	31
tt9249530	6.8	39
tt9249532	6.8	40
tt9249616	7.8	72
tt9249886	6.3	232
tt9249918	7.7	232
tt9249928	6.2	424
tt9250002	7.3	232
tt9250156	4.6	278
tt9250588	8.6	7
tt9250882	9.3	18
tt9250894	7.4	147
tt9251326	4.4	212
tt9251402	6.6	29
tt9251424	5.2	10
tt9251448	7.5	27
tt9251464	6.0	13
tt9251592	6.7	6
tt9251598	2.6	127
tt9251614	6.8	66
tt9251718	2.2	154
tt9251726	7.7	2034
tt9251738	8.6	5
tt9251748	5.5	237
tt9251798	7.5	36712
tt9251858	4.9	150
tt9251922	6.7	20
tt9251950	6.2	10
tt9252044	7.9	8
tt9252062	6.3	11
tt9252066	6.2	11
tt9252076	7.2	27
tt9252084	7.8	114
tt9252086	8.2	14
tt9252090	8.2	1708
tt9252122	6.9	33
tt9252156	7.1	14958
tt9252174	5.5	16
tt9252222	7.4	8
tt9252254	7.8	116
tt9252316	6.7	229
tt9252330	7.2	20
tt9252332	7.8	18
tt9252356	7.4	22
tt9252412	7.2	13
tt9252468	7.1	26398
tt9252470	6.8	93
tt9252480	8.6	14
tt9252486	5.0	26
tt9252488	5.8	5990
tt9252504	6.8	36
tt9252508	5.2	23440
tt9252510	7.6	36
tt9252514	6.8	23
tt9252516	6.6	29
tt9252554	7.3	19
tt9252562	8.3	20
tt9252566	7.4	18
tt9252570	7.8	20
tt9252578	8.6	1081
tt9252582	8.5	1058
tt9252586	7.5	24
tt9252588	8.9	1394
tt9252606	7.2	9
tt9252610	7.2	118
tt9252658	7.5	20
tt9252660	8.2	13
tt9252662	7.6	10
tt9252664	7.9	11
tt9252666	7.0	12
tt9252668	7.9	10
tt9252670	8.0	9
tt9252672	7.7	10
tt9252674	7.7	10
tt9252676	7.6	10
tt9252678	7.8	11
tt9252680	7.8	12
tt9252682	8.5	13
tt9252692	6.5	27
tt9252728	7.3	54
tt9252742	7.7	30
tt9252752	7.7	7
tt9252766	6.7	478
tt9252768	6.8	476
tt9252770	7.2	503
tt9252776	8.9	7
tt9252780	8.6	8
tt9252782	8.7	7
tt9252794	7.8	23
tt9252798	6.7	9
tt9252802	5.6	5
tt9252804	4.2	5
tt9252806	5.6	16
tt9252812	7.2	19
tt9252814	6.8	19
tt9252816	7.8	20
tt9252818	7.4	18
tt9252820	8.0	7
tt9252832	8.6	352
tt9252836	5.7	9
tt9252838	7.2	6
tt9252840	6.8	7
tt9252842	7.0	7
tt9252864	6.7	87
tt9252866	5.6	59
tt9252868	5.6	61
tt9252870	5.5	59
tt9252962	7.8	471
tt9252964	7.6	412
tt9252966	7.9	404
tt9252968	8.1	402
tt9253108	7.0	8
tt9253132	9.3	10
tt9253180	4.0	26
tt9253188	5.6	589
tt9253210	6.7	9
tt9253298	8.1	28
tt9253358	5.4	8
tt9253366	8.4	21
tt9253370	8.5	7
tt9253476	7.6	13
tt9253484	7.1	143
tt9253490	7.1	31
tt9253558	8.3	6
tt9253600	6.5	13
tt9253604	7.8	14
tt9253606	7.5	25
tt9253618	5.6	2032
tt9253648	8.0	6
tt9253660	4.3	7
tt9253666	8.0	46
tt9253672	7.1	67
tt9253674	6.3	48
tt9253714	5.1	19
tt9253728	8.5	893
tt9253740	9.4	9
tt9253754	7.0	29
tt9253760	6.7	30
tt9253782	8.2	28
tt9253866	9.3	42241
tt9253868	9.0	2245
tt9253870	9.2	1911
tt9253872	9.1	1647
tt9253874	8.9	1468
tt9253876	8.8	1340
tt9253878	9.0	1328
tt9253880	8.8	1226
tt9253882	9.1	1286
tt9253894	8.3	18
tt9253896	8.3	16
tt9253898	8.4	18
tt9253902	8.4	18
tt9253908	8.3	15
tt9253914	8.5	16
tt9253926	3.7	261
tt9254574	9.2	39
tt9254902	6.0	6
tt9255020	6.0	9
tt9255022	3.2	10
tt9255182	6.9	294
tt9255478	6.5	6
tt9255718	6.8	70
tt9255724	8.4	592
tt9255726	6.8	500
tt9255728	6.9	451
tt9255732	7.1	458
tt9255734	6.8	446
tt9255736	3.8	5
tt9255738	5.9	636
tt9255740	6.8	488
tt9255742	7.6	441
tt9255746	8.2	567
tt9255886	6.3	24
tt9256012	5.2	49
tt9256026	6.9	51
tt9256042	8.3	10
tt9256090	4.7	11
tt9256172	6.0	6
tt9256176	7.1	8
tt9256250	8.1	21
tt9256264	8.4	10
tt9256274	6.7	18
tt9256304	6.6	5
tt9256310	7.6	5
tt9256340	9.0	25
tt9256356	8.7	23
tt9256396	8.4	15
tt9256400	6.5	15
tt9256404	7.4	29
tt9256418	7.4	92
tt9256424	8.6	9
tt9256428	8.6	6
tt9256438	8.0	1772
tt9256440	8.3	1716
tt9256442	8.3	1625
tt9256444	8.1	1574
tt9256446	8.5	1782
tt9256448	8.4	1591
tt9256450	8.7	1534
tt9256452	8.5	1429
tt9256454	8.2	1332
tt9256456	9.0	1639
tt9256460	8.7	1667
tt9256508	9.3	11
tt9256510	5.2	11
tt9256516	9.1	10
tt9256518	9.1	10
tt9256562	5.7	10
tt9256578	6.7	24
tt9256586	6.8	48
tt9256590	7.0	14
tt9256592	7.1	11
tt9256594	6.8	11
tt9256596	7.1	15
tt9256600	7.2	13
tt9256608	8.0	920
tt9256612	7.8	783
tt9256614	7.9	747
tt9256616	8.1	733
tt9256618	7.9	705
tt9256620	8.4	756
tt9256622	6.4	471
tt9256624	7.1	479
tt9256626	6.9	453
tt9256628	6.6	425
tt9256630	6.6	413
tt9256632	6.7	394
tt9256634	6.5	389
tt9256636	6.7	407
tt9256638	6.5	418
tt9256640	8.0	188
tt9256642	8.0	196
tt9256644	8.4	219
tt9256648	7.6	455
tt9256652	8.4	838
tt9256654	8.5	928
tt9256656	9.2	1390
tt9256658	7.8	830
tt9256660	7.9	766
tt9256662	8.4	770
tt9256664	8.7	908
tt9256666	7.3	10
tt9256784	7.8	9
tt9256788	5.8	13
tt9256836	6.8	5
tt9256866	7.8	3435
tt9256872	7.4	10
tt9256880	7.5	740
tt9256884	8.2	856
tt9256886	7.6	2589
tt9256888	8.1	2953
tt9256890	7.6	2403
tt9256892	8.0	2477
tt9256894	7.2	3058
tt9256906	9.0	1193
tt9256908	6.9	49
tt9256910	8.6	915
tt9256914	8.5	878
tt9256918	3.7	2438
tt9256932	7.6	859
tt9256994	8.1	11
tt9257014	7.5	11
tt9257132	6.3	10
tt9257138	7.6	22
tt9257170	8.5	6
tt9257224	8.0	6
tt9257258	6.9	7535
tt9257302	7.5	43
tt9257308	5.7	18
tt9257312	7.3	14
tt9257324	3.2	237
tt9257326	4.1	33
tt9257386	8.6	11
tt9257390	9.1	8
tt9257392	9.2	8
tt9257394	9.0	8
tt9257396	9.3	7
tt9257398	7.1	19
tt9257434	6.8	21
tt9257436	7.1	267
tt9257438	7.1	216
tt9257466	6.9	183
tt9257470	8.3	90
tt9257472	7.2	177
tt9257474	7.2	172
tt9257476	5.2	9
tt9257478	7.3	182
tt9257484	4.6	8664
tt9257502	8.6	6
tt9257510	5.3	34
tt9257552	7.2	210
tt9257554	7.5	187
tt9257556	7.4	200
tt9257558	7.4	182
tt9257560	7.5	184
tt9257562	7.3	171
tt9257564	7.5	179
tt9257566	7.6	185
tt9257568	7.6	184
tt9257616	5.6	83
tt9257620	6.0	57
tt9257638	9.3	62
tt9257644	7.7	18
tt9257648	7.6	17
tt9257652	7.5	1149
tt9257672	7.0	320
tt9257736	8.5	6
tt9257804	6.8	25
tt9257806	5.2	6
tt9257816	6.9	58
tt9257820	7.5	1695
tt9257862	4.2	9
tt9257876	5.9	7
tt9257880	8.6	8
tt9257888	4.5	12
tt9257896	6.8	11
tt9257902	6.6	11
tt9257906	4.0	415
tt9257920	3.7	187
tt9257932	7.1	14
tt9257980	7.9	10
tt9257996	6.5	276
tt9258008	7.1	12
tt9258012	5.8	56
tt9258020	8.3	11
tt9258028	6.9	19
tt9258036	8.4	20
tt9258098	2.8	7
tt9258100	6.9	61
tt9258134	7.2	8
tt9258142	7.2	11
tt9258224	6.6	31
tt9258282	7.8	8
tt9258292	8.2	104
tt9258302	7.0	6
tt9258310	6.5	12
tt9258312	5.3	10
tt9258314	6.1	8
tt9258320	5.7	7
tt9258322	5.6	6
tt9258324	6.0	6
tt9258328	6.0	6
tt9258332	4.8	6
tt9258334	6.4	6
tt9258336	6.4	6
tt9258342	6.9	9
tt9258346	9.8	6
tt9258478	7.1	16
tt9258708	8.8	18
tt9258802	7.1	26
tt9258854	5.2	30
tt9258918	8.4	167
tt9259058	8.2	17
tt9259288	6.6	26
tt9259322	7.0	20
tt9259348	7.9	14
tt9259474	9.2	26
tt9259778	6.7	12
tt9259912	7.6	187
tt9260142	6.2	5
tt9260144	6.8	26
tt9260262	7.2	19
tt9260264	6.7	18
tt9260266	6.6	18
tt9260268	6.7	17
tt9260272	6.3	18
tt9260288	6.4	14
tt9260294	7.6	15
tt9260300	6.9	14
tt9260306	6.3	15
tt9260318	8.4	6
tt9260336	7.4	28
tt9260338	7.2	28
tt9260340	6.9	26
tt9260342	6.3	27
tt9260344	7.1	25
tt9260348	6.7	6
tt9260354	5.8	8
tt9260358	6.4	8
tt9260430	8.0	41
tt9260442	6.2	61
tt9260446	5.8	1102
tt9260450	7.1	7
tt9260454	7.5	23
tt9260458	8.7	6
tt9260476	8.4	5
tt9260492	10.0	7
tt9260564	9.3	9
tt9260600	7.3	16
tt9260606	9.2	227
tt9260626	9.6	15
tt9260636	6.7	20576
tt9260722	7.9	11
tt9260926	4.2	27
tt9260980	6.4	1535
tt9260992	7.5	473
tt9261030	8.5	6
tt9261042	4.3	378
tt9261052	4.1	125
tt9261134	7.0	6
tt9261162	7.5	119
tt9261170	7.7	175
tt9261210	7.1	28
tt9261218	6.4	5648
tt9261262	8.2	1142
tt9261270	8.8	1354
tt9261274	6.1	73
tt9261276	8.5	1172
tt9261280	8.1	1163
tt9261282	9.0	1460
tt9261284	7.4	473
tt9261286	7.5	16
tt9261290	6.1	113
tt9261292	6.7	12
tt9261294	7.3	16
tt9261296	7.5	17
tt9261302	8.0	9
tt9261304	7.5	20
tt9261308	7.0	20
tt9261310	7.4	7
tt9261316	7.5	8
tt9261322	7.4	18
tt9261330	7.1	19
tt9261332	6.3	19
tt9261340	8.4	6
tt9261354	8.0	906
tt9261360	8.5	905
tt9261362	9.1	8
tt9261364	8.0	802
tt9261366	8.4	895
tt9261368	7.9	829
tt9261372	8.0	810
tt9261374	7.9	826
tt9261376	8.1	783
tt9261382	5.7	51
tt9261386	8.8	5
tt9261396	6.7	39
tt9261404	6.6	212
tt9261412	7.3	6
tt9261416	6.2	49
tt9261420	9.2	15
tt9261472	7.6	8
tt9261476	4.6	31
tt9261482	7.1	20
tt9261494	9.0	15
tt9261516	7.8	8
tt9261518	7.0	8
tt9261522	7.7	8
tt9261544	7.8	7
tt9261550	7.6	7
tt9261552	7.2	8
tt9261554	7.5	91
tt9261558	7.4	7
tt9261564	6.8	8
tt9261568	7.6	7
tt9261574	4.9	123
tt9261582	6.6	9
tt9261594	5.6	239
tt9261604	7.4	15
tt9261610	7.5	32
tt9261624	2.9	110
tt9261648	9.3	36
tt9261682	6.7	11
tt9261686	7.0	11
tt9261690	3.0	275
tt9261704	8.2	5
tt9261756	6.4	10
tt9261782	8.1	13
tt9261786	7.6	5
tt9261828	5.2	243
tt9261840	7.3	943
tt9261846	8.3	44
tt9261856	6.9	14
tt9261860	6.8	194
tt9261864	6.6	196
tt9261866	6.2	198
tt9261868	6.4	195
tt9261882	4.1	10
tt9261888	6.1	10
tt9261892	6.5	18
tt9261936	1.2	6
tt9261948	8.4	18
tt9261956	6.9	13
tt9261994	6.5	579
tt9261998	5.4	5
tt9262000	9.4	5
tt9262002	7.0	7
tt9262008	7.0	8
tt9262024	5.6	234
tt9262028	5.8	6
tt9262032	5.3	62
tt9262054	9.0	10
tt9262058	7.4	6
tt9262068	5.9	382
tt9262082	7.3	48
tt9262090	6.7	61
tt9262108	4.1	20
tt9262110	5.8	6
tt9262112	8.8	6
tt9262126	6.8	10
tt9262128	7.0	8
tt9262178	7.3	11
tt9262216	8.0	23
tt9262412	5.2	6
tt9262418	6.6	15
tt9262426	7.0	17
tt9262434	6.5	16
tt9262952	6.4	387
tt9262958	8.0	1044
tt9263022	7.8	1039
tt9263550	9.3	12005
tt9263636	9.5	8
tt9263762	5.1	204
tt9264020	6.0	109
tt9264112	3.5	9
tt9264122	8.1	81
tt9264234	6.7	61
tt9264262	8.2	2989
tt9264276	8.1	2816
tt9264282	8.2	2778
tt9264290	8.2	2842
tt9264336	7.2	3346
tt9264434	5.8	9
tt9264482	7.2	5
tt9264506	7.5	33
tt9264508	7.6	36
tt9264512	7.4	38
tt9264514	7.0	35
tt9264524	6.8	247
tt9264566	7.8	11
tt9264572	7.8	31
tt9264578	8.0	98
tt9264592	7.2	8
tt9264652	6.8	14
tt9264674	7.0	10
tt9264728	4.3	8144
tt9264732	4.0	7
tt9264738	4.0	7
tt9264748	6.7	8
tt9264768	9.1	18
tt9264822	8.0	28
tt9264908	7.8	13
